Implementation,128,512,2048
Blocked; B=16; P=1,0.001,0.0575,3.87
Blocked; B=16; P=16,0.0007,0.0087,0.4836
Blocked; B=16; P=4,0.0006,0.0289,1.9298
Blocked; B=16; P=64,0.0016,0.0038,0.1344
Blocked; B=4; P=1,0.001,0.0575,3.87
Blocked; B=4; P=16,0.0007,0.0087,0.4836
Blocked; B=4; P=4,0.0006,0.0289,1.9298
Blocked; B=4; P=64,0.0016,0.0038,0.1344
